_id,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
673ec4568fe596bfedd7fc2c,24.0,female,Bachelor,96943.0,1,MORTGAGE,10000.0,EDUCATION,10.76,0.1,3.0,697,No,0
673ec4568fe596bfedd7c25d,35.0,female,High School,90882.0,15,MORTGAGE,5000.0,PERSONAL,8.7,0.06,9.0,491,Yes,0
673ec4568fe596bfedd7bf7a,34.0,female,Associate,76311.0,10,OWN,20500.0,VENTURE,20.0,0.27,8.0,678,No,1
673ec4568fe596bfedd7ca57,28.0,female,Master,138178.0,9,MORTGAGE,12000.0,PERSONAL,7.29,0.09,6.0,621,No,0
673ec4568fe596bfedd7f4ab,35.0,female,High School,111262.0,11,MORTGAGE,4972.0,VENTURE,10.57,0.04,10.0,591,Yes,0
673ec4568fe596bfedd7dae2,38.0,male,Associate,91019.0,16,MORTGAGE,25000.0,HOMEIMPROVEMENT,10.59,0.27,16.0,659,Yes,0
673ec4568fe596bfedd7b4db,33.0,male,Associate,31380.0,11,RENT,5500.0,MEDICAL,9.88,0.18,7.0,670,No,0
673ec4568fe596bfedd7ad51,33.0,female,Associate,40497.0,8,MORTGAGE,6000.0,HOMEIMPROVEMENT,6.03,0.15,5.0,594,No,0
673ec4568fe596bfedd7a2b1,22.0,male,Associate,43924.0,0,RENT,5000.0,EDUCATION,12.68,0.11,4.0,592,No,1
673ec4568fe596bfedd7dff0,60.0,male,Master,118615.0,39,RENT,15000.0,DEBTCONSOLIDATION,16.29,0.13,25.0,631,No,1
673ec4568fe596bfedd7fe57,24.0,male,Bachelor,114049.0,3,MORTGAGE,10000.0,HOMEIMPROVEMENT,15.85,0.09,3.0,671,Yes,0
673ec4558fe596bfedd76584,25.0,male,High School,70432.0,6,RENT,18000.0,VENTURE,11.01,0.26,4.0,609,No,1
673ec4568fe596bfedd7ee21,32.0,male,High School,145009.0,13,MORTGAGE,28225.0,MEDICAL,15.96,0.19,9.0,678,Yes,0
673ec4568fe596bfedd7f6ec,24.0,female,High School,63063.0,0,RENT,9000.0,VENTURE,7.29,0.14,3.0,572,No,0
673ec4568fe596bfedd7a4b3,23.0,male,Master,96944.0,1,MORTGAGE,3000.0,PERSONAL,5.99,0.03,3.0,600,No,0
673ec4568fe596bfedd7eaae,23.0,female,Associate,108861.0,1,RENT,7000.0,PERSONAL,11.0,0.06,3.0,662,No,0
673ec4568fe596bfedd79dc3,24.0,female,High School,160582.0,2,MORTGAGE,3000.0,HOMEIMPROVEMENT,11.99,0.02,4.0,634,Yes,0
673ec4568fe596bfedd7b494,28.0,female,Associate,36633.0,5,RENT,5200.0,PERSONAL,5.42,0.14,7.0,583,Yes,0
673ec4568fe596bfedd7a414,22.0,female,Master,87603.0,0,MORTGAGE,5000.0,MEDICAL,6.54,0.06,2.0,592,Yes,0
673ec4568fe596bfedd7d3a0,41.0,male,High School,80801.0,18,RENT,25000.0,EDUCATION,17.56,0.31,15.0,725,No,1
673ec4558fe596bfedd764a3,24.0,female,Master,95807.0,5,RENT,20000.0,HOMEIMPROVEMENT,14.11,0.21,2.0,678,No,1
673ec4568fe596bfedd7b840,31.0,male,Bachelor,62152.0,6,RENT,6625.0,EDUCATION,10.38,0.11,10.0,685,Yes,0
673ec4568fe596bfedd7baa5,34.0,male,Associate,70477.0,11,OWN,3000.0,MEDICAL,6.76,0.04,10.0,627,No,0
673ec4558fe596bfedd78fe9,25.0,male,Associate,93207.0,3,MORTGAGE,20000.0,PERSONAL,11.01,0.21,2.0,552,Yes,0
673ec4568fe596bfedd7d607,36.0,female,Bachelor,36655.0,17,RENT,4000.0,VENTURE,17.99,0.11,15.0,705,No,1
673ec4568fe596bfedd7bea3,29.0,female,Associate,70914.0,6,RENT,9600.0,VENTURE,11.48,0.14,5.0,574,Yes,0
673ec4568fe596bfedd7fb98,26.0,male,High School,87097.0,5,MORTGAGE,16855.0,MEDICAL,9.03,0.19,6.0,669,Yes,0
673ec4568fe596bfedd7f1bb,24.0,male,Associate,55349.0,3,RENT,5045.0,EDUCATION,10.62,0.09,4.0,596,No,0
673ec4568fe596bfedd8081a,28.0,female,High School,234419.0,2,MORTGAGE,17936.0,MEDICAL,13.77,0.08,7.0,621,No,1
673ec4558fe596bfedd77f60,24.0,female,Bachelor,97131.0,3,RENT,6400.0,MEDICAL,7.49,0.07,4.0,650,Yes,0
673ec4568fe596bfedd7e626,29.0,male,Associate,74121.0,7,RENT,4834.0,VENTURE,13.98,0.07,9.0,701,No,0
673ec4568fe596bfedd803c7,28.0,female,High School,36670.0,8,RENT,3839.0,EDUCATION,13.85,0.1,8.0,662,Yes,0
673ec4568fe596bfedd7a498,24.0,male,High School,75910.0,1,MORTGAGE,4000.0,HOMEIMPROVEMENT,8.9,0.05,4.0,676,Yes,0
673ec4568fe596bfedd7db0b,40.0,male,High School,83712.0,17,MORTGAGE,13200.0,DEBTCONSOLIDATION,13.24,0.16,14.0,652,No,1
673ec4568fe596bfedd7d8de,37.0,male,Bachelor,214629.0,15,RENT,7500.0,DEBTCONSOLIDATION,11.14,0.03,11.0,711,No,0
673ec4568fe596bfedd7f6d8,25.0,male,Bachelor,96893.0,4,RENT,11018.0,HOMEIMPROVEMENT,6.84,0.11,3.0,678,Yes,0
673ec4568fe596bfedd7b230,35.0,male,Bachelor,44249.0,12,MORTGAGE,16000.0,EDUCATION,10.99,0.36,8.0,650,No,1
673ec4568fe596bfedd80d7f,30.0,male,Bachelor,45021.0,9,RENT,12000.0,EDUCATION,10.12,0.27,7.0,596,No,1
673ec4568fe596bfedd79bfa,23.0,male,Bachelor,145015.0,4,MORTGAGE,12000.0,EDUCATION,5.42,0.08,3.0,651,Yes,0
673ec4568fe596bfedd80dea,32.0,female,Bachelor,26047.0,11,RENT,10000.0,EDUCATION,11.07,0.38,6.0,687,No,1
673ec4568fe596bfedd7e7d2,30.0,male,High School,85040.0,10,MORTGAGE,10750.0,EDUCATION,13.57,0.13,11.0,609,Yes,0
673ec4568fe596bfedd8067c,23.0,female,Master,23649.0,2,RENT,1552.0,DEBTCONSOLIDATION,10.49,0.07,4.0,614,No,1
673ec4568fe596bfedd7bcc6,30.0,male,Bachelor,85987.0,8,RENT,8000.0,MEDICAL,11.12,0.09,8.0,584,No,0
673ec4568fe596bfedd7f085,26.0,female,Bachelor,68261.0,7,MORTGAGE,20000.0,PERSONAL,13.16,0.29,4.0,627,Yes,0
673ec4568fe596bfedd7d2f5,29.0,male,Associate,21277.0,5,RENT,2750.0,HOMEIMPROVEMENT,14.84,0.13,6.0,528,No,1
673ec4558fe596bfedd79463,23.0,male,High School,77528.0,5,MORTGAGE,3500.0,MEDICAL,7.9,0.05,3.0,659,No,1
673ec4568fe596bfedd7de08,36.0,male,Associate,92453.0,9,RENT,16000.0,MEDICAL,8.94,0.17,12.0,651,No,0
673ec4568fe596bfedd7bb73,28.0,female,Master,73263.0,5,MORTGAGE,3000.0,HOMEIMPROVEMENT,17.49,0.04,8.0,650,Yes,0
673ec4568fe596bfedd7ae7e,33.0,male,Associate,114851.0,10,RENT,3200.0,HOMEIMPROVEMENT,7.51,0.03,5.0,593,No,0
673ec4558fe596bfedd78ae9,23.0,male,Associate,42756.0,3,RENT,10000.0,EDUCATION,5.79,0.23,2.0,568,Yes,0
673ec4558fe596bfedd77525,24.0,female,Associate,45048.0,1,MORTGAGE,6250.0,DEBTCONSOLIDATION,7.14,0.14,4.0,643,No,1
673ec4568fe596bfedd7cbf4,30.0,male,Bachelor,138474.0,8,MORTGAGE,20000.0,DEBTCONSOLIDATION,14.59,0.14,7.0,518,No,1
673ec4558fe596bfedd765d1,23.0,female,Bachelor,54940.0,0,RENT,17625.0,DEBTCONSOLIDATION,8.9,0.32,4.0,632,No,1
673ec4568fe596bfedd7aa4a,33.0,female,Master,169148.0,10,RENT,18000.0,DEBTCONSOLIDATION,11.01,0.11,9.0,591,Yes,0
673ec4558fe596bfedd78b54,24.0,female,Associate,84916.0,0,MORTGAGE,5000.0,HOMEIMPROVEMENT,10.2,0.06,2.0,657,No,0
673ec4568fe596bfedd7cb9b,31.0,male,Associate,151034.0,10,OWN,30000.0,MEDICAL,7.51,0.2,9.0,646,No,0
673ec4558fe596bfedd76eeb,24.0,male,Master,44369.0,2,MORTGAGE,8000.0,EDUCATION,9.83,0.18,3.0,717,Yes,0
673ec4568fe596bfedd7e602,23.0,male,High School,67006.0,1,RENT,9500.0,VENTURE,8.17,0.14,4.0,652,No,0
673ec4568fe596bfedd7adbf,29.0,male,Associate,61209.0,6,RENT,12000.0,VENTURE,8.94,0.2,5.0,655,Yes,0
673ec4558fe596bfedd7707c,24.0,female,Associate,38523.0,0,RENT,4000.0,DEBTCONSOLIDATION,12.42,0.1,4.0,555,Yes,0
673ec4568fe596bfedd7e9ba,28.0,female,Associate,87345.0,8,MORTGAGE,12000.0,PERSONAL,8.12,0.14,8.0,715,No,0
673ec4558fe596bfedd783ed,26.0,male,Associate,65489.0,1,MORTGAGE,4800.0,DEBTCONSOLIDATION,11.49,0.07,2.0,602,No,1
673ec4568fe596bfedd7cc2e,34.0,male,Bachelor,157078.0,10,MORTGAGE,5000.0,HOMEIMPROVEMENT,17.56,0.03,7.0,634,No,0
673ec4558fe596bfedd78627,23.0,male,Associate,78928.0,1,RENT,8000.0,DEBTCONSOLIDATION,14.72,0.1,2.0,602,No,0
673ec4558fe596bfedd7927b,22.0,male,Bachelor,51300.0,0,RENT,12000.0,MEDICAL,15.65,0.23,3.0,680,No,1
673ec4568fe596bfedd7ce99,29.0,male,Bachelor,56043.0,9,MORTGAGE,6000.0,PERSONAL,11.49,0.11,8.0,654,No,0
673ec4568fe596bfedd7c1d4,33.0,female,Associate,79137.0,12,RENT,10000.0,MEDICAL,11.99,0.13,9.0,647,Yes,0
673ec4568fe596bfedd7c731,31.0,male,Associate,56286.0,9,RENT,13000.0,VENTURE,14.59,0.23,9.0,591,No,1
673ec4568fe596bfedd7c0f4,28.0,male,Bachelor,87419.0,4,MORTGAGE,4000.0,HOMEIMPROVEMENT,10.99,0.05,6.0,612,No,0
673ec4558fe596bfedd77e21,22.0,male,Bachelor,39540.0,2,RENT,6500.0,PERSONAL,11.83,0.16,2.0,603,Yes,0
673ec4558fe596bfedd769d7,22.0,male,High School,39733.0,0,RENT,2400.0,VENTURE,16.77,0.06,3.0,652,No,0
673ec4558fe596bfedd76910,22.0,male,High School,61499.0,2,RENT,2000.0,VENTURE,11.01,0.03,4.0,659,Yes,0
673ec4558fe596bfedd78dfa,22.0,male,Master,89899.0,0,MORTGAGE,2500.0,MEDICAL,6.62,0.03,3.0,608,Yes,0
673ec4568fe596bfedd7d333,27.0,male,Associate,133500.0,6,MORTGAGE,3600.0,HOMEIMPROVEMENT,6.03,0.03,5.0,691,No,0
673ec4558fe596bfedd78cdd,23.0,female,Bachelor,87494.0,0,MORTGAGE,4200.0,VENTURE,12.42,0.05,3.0,679,No,0
673ec4568fe596bfedd7aac9,30.0,female,Bachelor,78940.0,5,RENT,16000.0,MEDICAL,13.06,0.2,8.0,567,Yes,0
673ec4568fe596bfedd7d4c4,36.0,male,Master,188580.0,14,RENT,1800.0,HOMEIMPROVEMENT,8.0,0.01,16.0,641,Yes,0
673ec4558fe596bfedd78d24,25.0,male,High School,61329.0,2,RENT,10000.0,EDUCATION,7.49,0.16,3.0,703,Yes,0
673ec4568fe596bfedd7e4b6,28.0,male,High School,75182.0,8,MORTGAGE,3555.0,EDUCATION,10.09,0.05,7.0,626,No,0
673ec4568fe596bfedd7b7f6,30.0,female,Associate,63301.0,12,MORTGAGE,5500.0,PERSONAL,14.96,0.09,10.0,568,No,0
673ec4568fe596bfedd7b4c1,31.0,male,High School,56938.0,12,MORTGAGE,8000.0,PERSONAL,13.04,0.14,6.0,539,Yes,0
673ec4568fe596bfedd7dd3f,40.0,female,High School,130346.0,17,MORTGAGE,6000.0,DEBTCONSOLIDATION,17.27,0.05,16.0,637,No,1
673ec4568fe596bfedd7dbe8,36.0,female,Associate,102573.0,14,RENT,12000.0,MEDICAL,7.29,0.12,14.0,708,Yes,0
673ec4558fe596bfedd76f3c,25.0,male,High School,45214.0,1,MORTGAGE,7000.0,HOMEIMPROVEMENT,15.62,0.15,3.0,668,No,0
673ec4558fe596bfedd782e7,23.0,female,High School,53636.0,0,RENT,7800.0,EDUCATION,15.62,0.15,3.0,628,Yes,0
673ec4558fe596bfedd78b09,22.0,male,Associate,83874.0,0,MORTGAGE,7800.0,PERSONAL,12.41,0.09,3.0,545,Yes,0
673ec4568fe596bfedd7d1d0,30.0,male,Associate,166437.0,9,MORTGAGE,23975.0,EDUCATION,17.93,0.14,6.0,557,No,1
673ec4558fe596bfedd7973d,25.0,female,High School,115024.0,3,MORTGAGE,18000.0,PERSONAL,14.72,0.16,4.0,507,Yes,0
673ec4558fe596bfedd791f3,24.0,male,High School,97289.0,4,OWN,25000.0,HOMEIMPROVEMENT,10.36,0.26,3.0,622,Yes,0
673ec4558fe596bfedd792ab,25.0,female,Associate,73218.0,5,RENT,12000.0,PERSONAL,14.26,0.16,4.0,641,No,0
673ec4558fe596bfedd78c12,22.0,male,Bachelor,55268.0,1,RENT,10000.0,EDUCATION,7.51,0.18,3.0,706,No,0
673ec4568fe596bfedd7b9cd,27.0,female,High School,61020.0,6,RENT,7300.0,MEDICAL,7.29,0.12,9.0,638,No,0
673ec4568fe596bfedd7b4aa,28.0,female,Master,56398.0,6,MORTGAGE,4000.0,PERSONAL,11.48,0.07,5.0,648,No,0
673ec4568fe596bfedd7ff86,28.0,male,Bachelor,168867.0,3,MORTGAGE,24250.0,VENTURE,11.91,0.14,6.0,659,No,0
673ec4558fe596bfedd76425,23.0,female,Bachelor,72969.0,1,RENT,20000.0,MEDICAL,7.9,0.27,2.0,579,No,1
673ec4568fe596bfedd7f6bb,41.0,male,High School,47172.0,21,RENT,8875.0,DEBTCONSOLIDATION,19.03,0.19,11.0,591,Yes,0
673ec4558fe596bfedd76273,23.0,male,High School,94789.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,0.26,2.0,548,No,1
673ec4568fe596bfedd7f413,25.0,female,Associate,133144.0,6,MORTGAGE,15000.0,HOMEIMPROVEMENT,9.37,0.11,4.0,706,No,0
673ec4558fe596bfedd77360,25.0,female,Bachelor,50402.0,0,OWN,4000.0,VENTURE,6.76,0.08,3.0,652,Yes,0
673ec4568fe596bfedd7fbc5,30.0,male,Master,51706.0,7,RENT,4383.0,MEDICAL,12.13,0.08,5.0,668,No,0
673ec4568fe596bfedd7b36a,30.0,female,Bachelor,46541.0,7,RENT,8875.0,PERSONAL,16.89,0.19,5.0,642,Yes,0
673ec4568fe596bfedd7c6c0,35.0,male,Associate,111651.0,15,MORTGAGE,12000.0,VENTURE,6.99,0.11,8.0,691,No,0
673ec4568fe596bfedd7d914,46.0,male,Associate,73358.0,25,OWN,4100.0,EDUCATION,13.49,0.06,11.0,637,No,0
673ec4558fe596bfedd76894,23.0,male,Bachelor,27644.0,0,RENT,2000.0,VENTURE,13.99,0.07,2.0,727,No,0
673ec4558fe596bfedd79634,24.0,female,Associate,111382.0,3,OWN,7200.0,MEDICAL,9.88,0.06,2.0,691,No,0
673ec4558fe596bfedd77752,26.0,male,Master,84603.0,3,RENT,5000.0,PERSONAL,11.01,0.06,3.0,671,No,0
673ec4568fe596bfedd7d314,34.0,female,Bachelor,163019.0,11,MORTGAGE,8000.0,VENTURE,9.32,0.05,5.0,678,No,0
673ec4568fe596bfedd7efe1,29.0,female,Associate,61171.0,6,RENT,5070.0,DEBTCONSOLIDATION,10.51,0.08,10.0,693,No,0
673ec4558fe596bfedd78c9d,24.0,male,Bachelor,85930.0,0,OWN,14000.0,PERSONAL,10.99,0.16,3.0,667,No,0
673ec4568fe596bfedd7c699,35.0,female,Bachelor,110198.0,9,OWN,5600.0,VENTURE,10.99,0.05,8.0,659,Yes,0
673ec4568fe596bfedd7bd07,34.0,female,Master,126851.0,14,RENT,8000.0,PERSONAL,8.38,0.06,8.0,714,Yes,0
673ec4558fe596bfedd78985,25.0,male,Associate,73044.0,6,MORTGAGE,8000.0,HOMEIMPROVEMENT,14.27,0.11,3.0,662,No,1
673ec4568fe596bfedd799ed,25.0,female,Bachelor,128189.0,7,MORTGAGE,12000.0,DEBTCONSOLIDATION,6.54,0.09,2.0,650,No,0
673ec4558fe596bfedd797d7,23.0,female,Bachelor,117910.0,3,MORTGAGE,14500.0,MEDICAL,7.51,0.12,2.0,581,Yes,0
673ec4568fe596bfedd7bdbf,35.0,female,Bachelor,71862.0,12,MORTGAGE,12000.0,MEDICAL,15.7,0.17,9.0,718,No,1
673ec4568fe596bfedd7a88f,28.0,female,Associate,169340.0,3,RENT,25000.0,HOMEIMPROVEMENT,13.11,0.15,7.0,675,No,0
673ec4568fe596bfedd80be8,26.0,female,Associate,71707.0,5,RENT,20000.0,EDUCATION,13.29,0.28,4.0,687,No,1
673ec4558fe596bfedd77216,24.0,female,High School,46965.0,4,RENT,4500.0,MEDICAL,10.83,0.1,2.0,638,No,0
673ec4568fe596bfedd7b3ef,31.0,female,Bachelor,66709.0,13,RENT,5000.0,HOMEIMPROVEMENT,12.18,0.07,8.0,702,Yes,0
673ec4568fe596bfedd7c779,35.0,female,Associate,101613.0,12,MORTGAGE,15200.0,DEBTCONSOLIDATION,15.27,0.15,7.0,620,No,1
673ec4558fe596bfedd769b6,24.0,male,Associate,36805.0,0,MORTGAGE,2400.0,DEBTCONSOLIDATION,13.11,0.07,2.0,560,No,0
673ec4568fe596bfedd7fb28,30.0,male,Bachelor,145057.0,7,MORTGAGE,15000.0,EDUCATION,8.25,0.1,7.0,671,No,0
673ec4568fe596bfedd7cfa5,31.0,male,Bachelor,87430.0,8,MORTGAGE,9800.0,MEDICAL,6.62,0.11,7.0,677,Yes,0
673ec4568fe596bfedd7d982,49.0,female,Master,75149.0,27,MORTGAGE,12000.0,PERSONAL,12.21,0.16,12.0,753,No,0
673ec4568fe596bfedd7f4aa,29.0,female,High School,61078.0,6,RENT,8000.0,MEDICAL,10.68,0.13,8.0,651,No,0
673ec4568fe596bfedd7ad76,32.0,female,Bachelor,46569.0,12,RENT,3000.0,VENTURE,11.49,0.06,6.0,669,Yes,0
673ec4568fe596bfedd7a030,23.0,female,Associate,29904.0,0,RENT,5000.0,DEBTCONSOLIDATION,6.62,0.17,2.0,654,Yes,0
673ec4568fe596bfedd7f442,26.0,female,Associate,72915.0,2,RENT,10000.0,DEBTCONSOLIDATION,15.74,0.14,4.0,589,Yes,0
673ec4568fe596bfedd79db4,24.0,female,Associate,79037.0,1,RENT,15000.0,PERSONAL,6.17,0.19,2.0,669,Yes,0
673ec4568fe596bfedd7a444,23.0,female,Associate,79084.0,0,MORTGAGE,16500.0,DEBTCONSOLIDATION,7.49,0.21,4.0,607,Yes,0
673ec4558fe596bfedd78ead,26.0,male,Associate,90627.0,2,MORTGAGE,10000.0,VENTURE,7.49,0.11,2.0,623,Yes,0
673ec4568fe596bfedd7fc67,31.0,male,Bachelor,39731.0,10,RENT,2334.0,HOMEIMPROVEMENT,6.49,0.06,6.0,675,Yes,0
673ec4568fe596bfedd7a571,25.0,male,Master,120923.0,1,RENT,20000.0,PERSONAL,13.06,0.17,3.0,672,Yes,0
673ec4568fe596bfedd7ba61,28.0,male,High School,70024.0,4,MORTGAGE,10625.0,PERSONAL,12.42,0.15,6.0,534,No,0
673ec4568fe596bfedd7e282,26.0,female,Associate,34023.0,4,RENT,2221.0,MEDICAL,12.47,0.07,4.0,636,Yes,0
673ec4558fe596bfedd7652f,24.0,male,High School,126727.0,0,RENT,19000.0,HOMEIMPROVEMENT,12.29,0.15,2.0,582,Yes,0
673ec4568fe596bfedd7b947,33.0,female,High School,67016.0,10,MORTGAGE,15000.0,PERSONAL,6.54,0.22,6.0,647,Yes,0
673ec4558fe596bfedd78f75,24.0,male,High School,89871.0,0,RENT,10000.0,HOMEIMPROVEMENT,14.54,0.11,2.0,660,No,1
673ec4568fe596bfedd7e74f,25.0,male,High School,43979.0,1,OWN,5500.0,PERSONAL,14.86,0.13,4.0,615,No,0
673ec4568fe596bfedd7f290,29.0,male,Associate,40759.0,3,RENT,5000.0,MEDICAL,8.98,0.12,9.0,636,No,0
673ec4568fe596bfedd807f9,30.0,male,Associate,29557.0,6,RENT,5000.0,MEDICAL,10.29,0.17,7.0,534,No,1
673ec4568fe596bfedd79f86,25.0,male,Associate,143494.0,4,RENT,16000.0,EDUCATION,11.01,0.11,2.0,629,Yes,0
673ec4568fe596bfedd7c238,31.0,female,Master,90982.0,8,RENT,10000.0,MEDICAL,13.47,0.11,6.0,616,Yes,0
673ec4568fe596bfedd7a05f,21.0,male,Associate,34305.0,0,RENT,7500.0,EDUCATION,6.76,0.22,4.0,609,Yes,0
673ec4568fe596bfedd801a5,25.0,female,High School,114817.0,0,MORTGAGE,15000.0,DEBTCONSOLIDATION,12.14,0.13,4.0,631,Yes,0
673ec4568fe596bfedd80364,24.0,female,High School,62430.0,1,MORTGAGE,6000.0,PERSONAL,8.4,0.1,2.0,593,No,0
673ec4558fe596bfedd765ee,23.0,male,High School,49136.0,3,RENT,17475.0,EDUCATION,9.91,0.36,2.0,618,No,1
673ec4568fe596bfedd7ed8d,23.0,male,Associate,79222.0,0,MORTGAGE,12000.0,EDUCATION,10.96,0.15,3.0,555,Yes,0
673ec4568fe596bfedd7ed5e,34.0,male,High School,31169.0,9,RENT,3730.0,DEBTCONSOLIDATION,12.45,0.12,7.0,597,Yes,0
673ec4558fe596bfedd7716c,22.0,male,Associate,76575.0,0,RENT,4000.0,HOMEIMPROVEMENT,11.12,0.05,2.0,622,No,1
673ec4558fe596bfedd7855b,23.0,male,Associate,18191.0,2,RENT,5000.0,VENTURE,6.91,0.27,3.0,684,No,1
673ec4558fe596bfedd78559,23.0,female,High School,73243.0,3,MORTGAGE,2000.0,PERSONAL,14.26,0.03,3.0,668,No,0
673ec4568fe596bfedd7b5ae,35.0,male,Associate,58410.0,11,MORTGAGE,2000.0,HOMEIMPROVEMENT,11.97,0.03,9.0,664,No,0
673ec4558fe596bfedd77deb,23.0,male,Bachelor,37343.0,1,RENT,6300.0,EDUCATION,14.35,0.17,4.0,583,No,0
673ec4568fe596bfedd7cac4,29.0,male,Bachelor,145281.0,4,MORTGAGE,5000.0,DEBTCONSOLIDATION,9.32,0.03,5.0,651,Yes,0
673ec4558fe596bfedd77e95,23.0,female,Associate,85052.0,1,RENT,6600.0,VENTURE,12.84,0.08,3.0,646,Yes,0
673ec4558fe596bfedd7686a,22.0,female,Associate,35603.0,2,MORTGAGE,2000.0,MEDICAL,8.59,0.06,3.0,622,No,0
673ec4558fe596bfedd789e7,23.0,male,High School,80650.0,2,MORTGAGE,1500.0,MEDICAL,11.49,0.02,3.0,613,No,0
673ec4558fe596bfedd789a1,22.0,male,Bachelor,78861.0,0,RENT,9600.0,PERSONAL,12.99,0.12,4.0,612,No,0
673ec4558fe596bfedd77e3a,23.0,male,High School,44370.0,5,RENT,6500.0,DEBTCONSOLIDATION,17.49,0.15,2.0,676,No,1
673ec4568fe596bfedd7a129,25.0,male,Master,115071.0,4,MORTGAGE,18000.0,DEBTCONSOLIDATION,10.99,0.16,3.0,684,No,0
673ec4568fe596bfedd7fd9b,28.0,male,Associate,66941.0,5,RENT,3500.0,DEBTCONSOLIDATION,9.5,0.05,5.0,567,No,0
673ec4568fe596bfedd7bbf9,35.0,female,Associate,72666.0,12,MORTGAGE,12000.0,MEDICAL,10.75,0.17,8.0,673,Yes,0
673ec4568fe596bfedd79f32,23.0,female,Bachelor,97088.0,1,RENT,16000.0,MEDICAL,13.85,0.16,3.0,573,Yes,0
673ec4568fe596bfedd806ca,23.0,female,Associate,60163.0,0,MORTGAGE,5000.0,MEDICAL,14.95,0.08,4.0,559,No,1
673ec4558fe596bfedd76b0c,24.0,male,Master,39277.0,2,MORTGAGE,12250.0,EDUCATION,8.94,0.31,4.0,596,Yes,0
673ec4558fe596bfedd76fe6,25.0,male,Bachelor,54576.0,0,RENT,3900.0,VENTURE,10.99,0.07,2.0,697,Yes,0
673ec4568fe596bfedd7da84,37.0,male,Associate,86284.0,17,MORTGAGE,11200.0,DEBTCONSOLIDATION,12.42,0.13,11.0,656,No,0
673ec4558fe596bfedd79206,22.0,female,Bachelor,97240.0,3,OWN,7000.0,EDUCATION,7.14,0.07,3.0,682,No,0
673ec4568fe596bfedd7e886,26.0,male,Bachelor,129790.0,4,MORTGAGE,1603.0,EDUCATION,12.76,0.01,4.0,560,Yes,0
673ec4568fe596bfedd7a973,30.0,male,Bachelor,87362.0,7,RENT,20000.0,EDUCATION,13.79,0.23,7.0,579,Yes,0
673ec4568fe596bfedd7a979,35.0,male,Bachelor,83607.0,15,RENT,20000.0,VENTURE,13.49,0.24,5.0,545,No,1
673ec4568fe596bfedd7fa40,23.0,female,Master,156596.0,1,MORTGAGE,30000.0,DEBTCONSOLIDATION,9.92,0.19,4.0,532,Yes,0
673ec4568fe596bfedd8006f,30.0,female,Master,48739.0,9,RENT,5500.0,VENTURE,7.74,0.11,9.0,601,No,0
673ec4568fe596bfedd7b737,27.0,female,Bachelor,102988.0,4,RENT,6000.0,DEBTCONSOLIDATION,13.43,0.06,5.0,639,Yes,0
673ec4568fe596bfedd7eda0,23.0,male,Master,103203.0,0,MORTGAGE,4000.0,EDUCATION,6.34,0.04,4.0,612,No,0
673ec4558fe596bfedd7856d,24.0,female,High School,72616.0,1,MORTGAGE,8000.0,EDUCATION,15.65,0.11,3.0,672,Yes,0
673ec4558fe596bfedd79748,24.0,female,Associate,40614.0,4,OWN,14000.0,VENTURE,11.01,0.34,2.0,682,No,0
